"MATCH_ID","MATCH_DATE","MATCH_TIME","TEAM_HOME_ID","TEAM_HOME_NAME","TEAM_AWAY_ID","TEAM_AWAY_NAME","VENUE","STATUS","WINNER","SCORE_HOME","SCORE_AWAY","NAME","NAME_DATE"
"9kbp7ccjanx969dhjayei54yy",12-DEC-17,"19:45:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","4qioq44vcv619vnyy2rpovk4e","Stoke City","Turf Moor","Played","home",1,0,"Burnley - Stoke City","Burnley - Stoke City 12-12-2017"
"a0pq9qshwvsqcwwb8kd81b8tm",24-FEB-18,"15:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","d5ydtvt96bv7fq04yqm2w2632","Southampton","Turf Moor","Played","draw",1,1,"Burnley - Southampton","Burnley - Southampton 24-02-2018"
"9f0cekhz9f0ddd0hen44ue8ve",18-NOV-17,"15:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","410jti6axb01yhvbc0axsp8li","Swansea City","Turf Moor","Played","home",2,0,"Burnley - Swansea City","Burnley - Swansea City 18-11-2017"
"94inr6t0h7cl5cmzyoyfe1g8a",10-SEP-17,"12:30:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","1c8m2ko0wxq1asfkuykurdr0y","Crystal Palace","Turf Moor","Played","home",1,0,"Burnley - Crystal Palace","Burnley - Crystal Palace 10-09-2017"
"a8sgg8z66xgy7bartaxrohq3u",14-APR-18,"14:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","avxknfz4f6ob0rv9dbnxdzde0","Leicester City","Turf Moor","Played","home",2,1,"Burnley - Leicester City","Burnley - Leicester City 14-04-2018"
"aexggv9cisk3g7tefttojh46i",13-MAY-18,"14:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","1pse9ta7a45pi2w2grjim70ge","AFC Bournemouth","Turf Moor","Played","away",1,2,"Burnley - AFC Bournemouth","Burnley - AFC Bournemouth 13-05-2018"
"9xfu7a7up9hfapewi3bs6u3ca",03-FEB-18,"12:30:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","a3nyxabgsqlnqfkeg41m6tnpp","Manchester City","Turf Moor","Played","draw",1,1,"Burnley - Manchester City","Burnley - Manchester City 03-02-2018"
"99noita1llo5r8dnkpwiu6wyy",14-OCT-17,"14:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","4txjdaqveermfryvbfrr4taf7","West Ham United","Turf Moor","Played","draw",1,1,"Burnley - West Ham United","Burnley - West Ham United 14-10-2017"
"9ckytg4w0jv0xu6gpw1wmqxka",30-OCT-17,"20:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","7vn2i2kd35zuetw6b38gw9jsz","Newcastle United","Turf Moor","Played","home",1,0,"Burnley - Newcastle United","Burnley - Newcastle United 30-10-2017"
"9713tm6dcr367r0yet2hftbhm",23-SEP-17,"14:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","5n5baro467i8s8efkra3nhgux","Huddersfield Town","Turf Moor","Played","draw",0,0,"Burnley - Huddersfield Town","Burnley - Huddersfield Town 23-09-2017"
"9ur9lc2jjjv08ne37iohjqb8q",20-JAN-18,"15:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","Turf Moor","Played","away",0,1,"Burnley - Manchester United","Burnley - Manchester United 20-01-2018"
"9mwnocogjq9plby8zodxmgju2",23-DEC-17,"17:30:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","22doj4sgsocqpxw45h607udje","Tottenham Hotspur","Turf Moor","Played","away",0,3,"Burnley - Tottenham Hotspur","Burnley - Tottenham Hotspur 23-12-2017"
"926vwjmxzo3ox31lmefp81izu",19-AUG-17,"14:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","d1lhefp805y0rcbjqkpu4fq0n","West Bromwich Albion","Turf Moor","Played","away",0,1,"Burnley - West Bromwich Albion","Burnley - West Bromwich Albion 19-08-2017"
"abbw57zh8d3gb9oost5mvpvfu",28-APR-18,"14:00:00","64bxxwu2mv2qqlv0monbkj1om","Burnley","e5p0ehyguld7egzhiedpdnc3w","Brighton & Hove Albion","Turf Moor","Played","draw",0,0,"Burnley - Brighton & Hove Albion","Burnley - Brighton & Hove Albion 28-04-2018"
"ac10g497d4ecykp30zwl6opre",29-APR-18,"15:30:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","4dsgumo7d4zupm2ugsvm4zm4d","Arsenal","Old Trafford","Played","home",2,1,"Manchester United - Arsenal","Manchester United - Arsenal 29-04-2018"
"9ost9j6pgojxm4zrxtb947ip6",26-DEC-17,"15:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","64bxxwu2mv2qqlv0monbkj1om","Burnley","Old Trafford","Played","draw",2,2,"Manchester United - Burnley","Manchester United - Burnley 26-12-2017"
"a17ulb9r5o07t2eyg0e3v8tii",25-FEB-18,"14:05:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","9q0arba2kbnywth8bkxlhgmdr","Chelsea","Old Trafford","Played","home",2,1,"Manchester United - Chelsea","Manchester United - Chelsea 25-02-2018"
"9676d8fov0ypbq7tbyfrrqhka",17-SEP-17,"15:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","ehd2iemqmschhj2ec0vayztzz","Everton","Old Trafford","Played","home",4,0,"Manchester United - Everton","Manchester United - Everton 17-09-2017"
"afh5lbsq67uazq9choexd7k2y",13-MAY-18,"14:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","4t83rqbdbekinxl5fz2ygsyta","Watford","Old Trafford","Played","home",1,0,"Manchester United - Watford","Manchester United - Watford 13-05-2018"
"a4c8fz0r7zbqucny65c0pno16",10-MAR-18,"12:30:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","c8h9bw1l82s06h77xxrelzhur","Liverpool","Old Trafford","Played","home",2,1,"Manchester United - Liverpool","Manchester United - Liverpool 10-03-2018"
"9to114zgzcated89rdpmyzii2",15-JAN-18,"20:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","4qioq44vcv619vnyy2rpovk4e","Stoke City","Old Trafford","Played","home",3,0,"Manchester United - Stoke City","Manchester United - Stoke City 15-01-2018"
"9q9ycvviyf4cyaze0mox020dm",30-DEC-17,"17:30:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","d5ydtvt96bv7fq04yqm2w2632","Southampton","Old Trafford","Played","draw",0,0,"Manchester United - Southampton","Manchester United - Southampton 30-12-2017"
"a6tvecabrekbgawmqi4vaq8a2",31-MAR-18,"14:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","410jti6axb01yhvbc0axsp8li","Swansea City","Old Trafford","Played","home",2,0,"Manchester United - Swansea City","Manchester United - Swansea City 31-03-2018"
"98m70qpr3d94y1o0lys6ytmqy",30-SEP-17,"14:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","1c8m2ko0wxq1asfkuykurdr0y","Crystal Palace","Old Trafford","Played","home",4,0,"Manchester United - Crystal Palace","Manchester United - Crystal Palace 30-09-2017"
"93si1ny5i4a1ewgmpkzs7nxwq",26-AUG-17,"16:30:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","avxknfz4f6ob0rv9dbnxdzde0","Leicester City","Old Trafford","Played","home",2,0,"Manchester United - Leicester City","Manchester United - Leicester City 26-08-2017"
"9kxevdm86ihjpizfwxsg4qezu",13-DEC-17,"20:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","1pse9ta7a45pi2w2grjim70ge","AFC Bournemouth","Old Trafford","Played","home",1,0,"Manchester United - AFC Bournemouth","Manchester United - AFC Bournemouth 13-12-2017"
"9jnqzjwhz5wt04mttpz09n52i",10-DEC-17,"16:30:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","a3nyxabgsqlnqfkeg41m6tnpp","Manchester City","Old Trafford","Played","away",1,2,"Manchester United - Manchester City","Manchester United - Manchester City 10-12-2017"
"91daq89hxn108p7lza5mxqkbu",13-AUG-17,"15:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","4txjdaqveermfryvbfrr4taf7","West Ham United","Old Trafford","Played","home",4,0,"Manchester United - West Ham United","Manchester United - West Ham United 13-08-2017"
"9fevmk8qwxe9tkt8klvhtimay",18-NOV-17,"17:30:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","7vn2i2kd35zuetw6b38gw9jsz","Newcastle United","Old Trafford","Played","home",4,1,"Manchester United - Newcastle United","Manchester United - Newcastle United 18-11-2017"
"9y68fohk36nnj1hxzeas2czu2",03-FEB-18,"15:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","5n5baro467i8s8efkra3nhgux","Huddersfield Town","Old Trafford","Played","home",2,0,"Manchester United - Huddersfield Town","Manchester United - Huddersfield Town 03-02-2018"
"9d22mogpvlki1xszy95d6jjai",28-OCT-17,"11:30:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","22doj4sgsocqpxw45h607udje","Tottenham Hotspur","Old Trafford","Played","home",1,0,"Manchester United - Tottenham Hotspur","Manchester United - Tottenham Hotspur 28-10-2017"
"a9cj7d325xdtjdoc3czxjbnfu",15-APR-18,"15:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","d1lhefp805y0rcbjqkpu4fq0n","West Bromwich Albion","Old Trafford","Played","away",0,1,"Manchester United - West Bromwich Albion","Manchester United - West Bromwich Albion 15-04-2018"
"9g7ejunoonsspgjludeeqjucq",25-NOV-17,"15:00:00","6eqit8ye8aomdsrrq0hk3v7gh","Manchester United","e5p0ehyguld7egzhiedpdnc3w","Brighton & Hove Albion","Old Trafford","Played","home",1,0,"Manchester United - Brighton & Hove Albion","Manchester United - Brighton & Hove Albion 25-11-2017"
"a9gt9cckx5dsua9lbbk3p2pgq",15-APR-18,"12:30:00","7vn2i2kd35zuetw6b38gw9jsz","Newcastle United","4dsgumo7d4zupm2ugsvm4zm4d","Arsenal","St. James' Park","Played","home",2,1,"Newcastle United - Arsenal","Newcastle United - Arsenal 15-04-2018"
